Feature,Importance
fieldGoalPercentage_my_player_1,3.441040520874288
fieldGoalPercentage_my_player_2,2.7969426191085907
fieldGoalPercentage_my_player_3,2.6573104037804685
fieldGoalPercentage_my_player_4,2.422453747347524
fieldGoalPercentage_my_player_5,2.0836963195185527
fieldGoalPercentage_my_player_7,2.0324368083754365
fieldGoalPercentage_my_player_6,1.9121913098425773
uncontestedFieldGoalsMade_my_player_1,1.5642238269388409
uncontestedFieldGoalsMade_my_player_2,1.44838023193969
uncontestedFieldGoalsMade_my_player_4,1.4217352543320507
uncontestedFieldGoalsMade_my_player_3,1.35207622778852
uncontestedFieldGoalsMade_my_player_6,1.205473766685435
reboundChancesOffensive_my_player_3,0.8632061377461048
assists_my_player_1,0.8552121306871492
reboundChancesOffensive_my_player_4,0.7094416989862927
RECENT_WIN_PCT,0.5830268722935104
touches_opposing_player_7,0.5659838411444184
uncontestedFieldGoalsPercentage_my_player_5,0.5225863324196564
reboundChancesOffensive_my_player_1,0.47318103102059006
REF_BIAS,0.4307068101009671
uncontestedFieldGoalsMade_my_player_3,0.35527759430375
assists_opposing_player_1,0.3297533374672088
assists_opposing_player_5,0.3138691925653723
uncontestedFieldGoalsMade_my_player_1,0.28900050729147037
uncontestedFieldGoalsMade_my_player_4,0.2747853536705956
reboundChancesOffensive_my_player_2,0.23535240135348567
uncontestedFieldGoalsMade_my_player_1,0.227937527654539
reboundChancesOffensive_my_player_2,0.18157475829713937
uncontestedFieldGoalsMade_my_player_1,0.13724052427319325
freeThrowAssists_opposing_player_4,0.10450634391854859
uncontestedFieldGoalsMade_my_player_2,0.09168631663996449
uncontestedFieldGoalsMade_my_player_2,0.06996241589139034
secondaryAssists_opposing_player_6,0.06914182687489467
reboundChancesOffensive_my_player_1,0.05079034639661732
fieldGoalPercentage_my_player_7,0.037421069082065016
uncontestedFieldGoalsMade_my_player_2,0.03658420386684094
reboundChancesOffensive_my_player_2,0.023823693809158927
passes_my_player_6,0.022579858425418327
secondaryAssists_opposing_player_1,0.020612503443180847
reboundChancesOffensive_my_player_5,0.008363385661300071
fieldGoalPercentage_my_player_5,0.005956166723024201
reboundChancesOffensive_my_player_2,0.005717536455585195
assists_my_player_1,0.0038997493640262277
fieldGoalPercentage_my_player_5,0.00012769743786661988
assists_my_player_1,3.123383567609109e-07
fieldGoalPercentage_my_player_1,0.0
fieldGoalPercentage_my_player_4,0.0
OPPONENT_WIN_PCT,-0.0
OPPONENT_WIN_PCT,-0.0
fieldGoalPercentage_my_player_3,0.0
fieldGoalPercentage_my_player_2,0.0
fieldGoalPercentage_my_player_6,0.0
fieldGoalPercentage_my_player_5,0.0
reboundChancesTotal_my_player_5,0.0
fieldGoalPercentage_my_player_2,0.0
fieldGoalPercentage_my_player_4,0.0
fieldGoalPercentage_my_player_3,0.0
fieldGoalPercentage_my_player_6,0.0
reboundChancesTotal_opposing_player_7,-0.0
fieldGoalPercentage_my_player_1,0.0
OPPONENT_WIN_PCT,-0.0
uncontestedFieldGoalsPercentage_my_player_4,-0.0
fieldGoalPercentage_my_player_1,0.0
uncontestedFieldGoalsPercentage_my_player_2,-0.0
fieldGoalPercentage_my_player_2,0.0
uncontestedFieldGoalsPercentage_my_player_1,-0.0
fieldGoalPercentage_my_player_6,0.0
fieldGoalPercentage_my_player_3,0.0
uncontestedFieldGoalsPercentage_my_player_5,0.0
uncontestedFieldGoalsPercentage_my_player_3,-0.0
uncontestedFieldGoalsPercentage_my_player_4,-0.0
fieldGoalPercentage_my_player_4,0.0
reboundChancesTotal_opposing_player_5,-0.0001656526779891358
reboundChancesTotal_opposing_player_6,-0.005780774590944066
reboundChancesTotal_opposing_player_6,-0.00975320705977466
reboundChancesTotal_opposing_player_2,-0.010499434152470023
reboundChancesTotal_opposing_player_7,-0.010630040201914333
reboundChancesTotal_opposing_player_5,-0.01107161570544396
uncontestedFieldGoalsPercentage_my_player_4,-0.013513561271282734
uncontestedFieldGoalsPercentage_my_player_6,-0.015030851484701686
reboundChancesTotal_opposing_player_3,-0.01589042119978369
REST_DAYS,-0.021407029269120345
reboundChancesTotal_opposing_player_4,-0.022283403274455577
reboundChancesTotal_opposing_player_1,-0.022422563084540686
reboundChancesTotal_opposing_player_1,-0.02363914520806484
reboundChancesTotal_opposing_player_4,-0.02493315745635092
reboundChancesTotal_opposing_player_5,-0.027308781483781304
secondaryAssists_opposing_player_7,-0.0319242996783599
reboundChancesTotal_opposing_player_2,-0.03438801618876206
reboundChancesTotal_opposing_player_6,-0.04444798368375942
secondaryAssists_opposing_player_2,-0.04625500727554565
reboundChancesTotal_opposing_player_3,-0.04844128490054296
uncontestedFieldGoalsPercentage_my_player_2,-0.04994455136275119
seconds_opposing_player_7,-0.05136733657063711
passes_opposing_player_5,-0.055216433689358566
reboundChancesTotal_opposing_player_2,-0.055821392190262026
uncontestedFieldGoalsPercentage_my_player_2,-0.056583205355907974
reboundChancesTotal_opposing_player_7,-0.060309336856092514
reboundChancesTotal_opposing_player_3,-0.06554595988837528
IS_BACK_TO_BACK,-0.06707185578844573
reboundChancesTotal_opposing_player_1,-0.0746569300887275
secondaryAssists_opposing_player_4,-0.10315617630000129
reboundChancesTotal_opposing_player_4,-0.11700837304411787
reboundChancesTotal_opposing_player_4,-0.13199434591474218
DISTANCE,-0.14496205097784032
uncontestedFieldGoalsPercentage_my_player_1,-0.1677295976561644
uncontestedFieldGoalsPercentage_my_player_3,-0.1812322031838931
uncontestedFieldGoalsPercentage_my_player_1,-0.20247685770287618
reboundChancesTotal_opposing_player_5,-0.21579050278504738
passes_my_player_5,-0.21689280527136245
reboundChancesTotal_my_player_3,-0.22571782080581781
secondaryAssists_opposing_player_3,-0.23087150704533568
uncontestedFieldGoalsPercentage_my_player_4,-0.23392964191427382
reboundChancesTotal_opposing_player_6,-0.248806404541433
reboundChancesTotal_opposing_player_7,-0.28011935017261025
CLOSE_WIN_PCT,-0.305430422797877
uncontestedFieldGoalsPercentage_my_player_2,-0.37014242604752867
reboundChancesTotal_opposing_player_1,-0.3835110918915132
reboundChancesTotal_opposing_player_3,-0.4274564623605845
uncontestedFieldGoalsPercentage_my_player_3,-0.44093638751369263
reboundChancesTotal_opposing_player_2,-0.47170038860528213
passes_opposing_player_5,-0.5501045212112352
uncontestedFieldGoalsPercentage_my_player_1,-0.674024366366368
passes_opposing_player_7,-0.6859490515369026
REST_DAYS,-0.7936337548243028
OPPONENT_WIN_PCT,-1.002765043151951
